SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
74,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490653,MPL UPS MASHANAMPETA,Urban,Primary with Upper Primary,MUNCIPAL,Co-education,1,8,English,Telugu,Hindi,None
75,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490654,MPL UPS 1ST WARD BOYS,Urban,Primary with Upper Primary,MUNCIPAL,Co-education,1,8,English,Telugu,Hindi,None
76,2822,ANANTAPUR,282258,PARIGI,SASANAKOTA,28225801302,MPPS SASANAKOTA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,English,Urdu,None
77,2822,ANANTAPUR,282225,ANANTAPUR,ANANTAPUR (M)-2,28222591241,GHS NEWTOWN ATP,Urban,Upper Pr. and Secondary,State Govt.,Co-education,6,10,Telugu,English,Urdu,None
78,2822,ANANTAPUR,282244,KADIRI,KADIRI (RURAL),28224401122,SRI VIVEKANANDA EM UP SCHOOL,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,Telugu,Urdu,None
79,2822,ANANTAPUR,282203,VIDAPANAKAL,VIDAPANAKAL,28220300807,KGBV VIDAPANAKA,Rural,Upper Pr. and Secondary,KGBVs(APREIS),Girls,6,10,English,None,None,None
80,2822,ANANTAPUR,282218,RAYADURG,RAYADURG,28221890948,ZPHS(G) RAYADURG,Urban,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
81,2822,ANANTAPUR,282218,RAYADURG,RAYADURG,28221890953,SBGT MPL HS(G) 1ST WARD RAYADURG,Urban,Upper Pr. and Secondary,MUNCIPAL,Girls,6,10,Telugu,English,None,None
82,2822,ANANTAPUR,282218,RAYADURG,RAYADURG,28221890966,KGBV RAYADURG,Urban,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,Telugu,None,None
83,2822,ANANTAPUR,282220,BRAHMASAMUDRAM,BRAHMASAMUDRAM,28222001107,APSWRS BRAMHASAMUDRAM,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,5,10,English,None,None,None
84,2822,ANANTAPUR,282220,BRAHMASAMUDRAM,BRAHMASAMUDRAM,28222001109,KGBV BRAMHASAMUDRAM,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
85,2822,ANANTAPUR,282223,KALYANDRUG,KALYANDURG,28222301034,KGBV KALYANDURG,Urban,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
86,2822,ANANTAPUR,282253,RODDAM,RODDAM,28225301121,KGBV RODDAM,Rural,Upper Pr. and Secondary,KGBVs(APREIS),Girls,6,10,English,None,None,None
87,2822,ANANTAPUR,282255,CHILAMATHUR,TEKULODU,28225501305,APRS TEKULODU,Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Girls,5,10,English,None,None,None
88,2822,ANANTAPUR,282258,PARIGI,PARIGI,28225800922,KGBV PARIGI,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,None,None,None
89,2822,ANANTAPUR,282209,TADPATRI,TADPATRI (M),28220991067,JHRMGHS,Urban,Upper Pr. and Secondary,MUNCIPAL,Girls,6,10,Telugu,English,None,None
90,2822,ANANTAPUR,282229,YELLANUR,YELLANUR,28222900611,KGBV YELLANUR,Rural,Upper Pr. and Secondary,KGBVs(APREIS),Girls,6,10,Telugu,English,None,None
91,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490663,ZPHS (GIRLS) KADIRI,Urban,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
92,2822,ANANTAPUR,282255,CHILAMATHUR,CHILAMATHUR,28225501824,KGBV CHILAMATHUR,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
93,2822,ANANTAPUR,282206,GOOTY,RAJAPURAM,28220600903,APSWRS RAJAPURAM,Rural,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Girls,5,12,English,None,None,None
94,2822,ANANTAPUR,282206,GOOTY,RAJAPURAM,28220600904,KGBV RAJAPURAM,Urban,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
95,2822,ANANTAPUR,282210,PEDDAPAPPUR,PEDDAPAPPUR,28221001307,KGBV PEDDAPAPPUR,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
96,2822,ANANTAPUR,282219,GUMMAGATA,GUMMAGATTA,28221901107,KGBV GUMMAGATTA,Rural,Upper Pr. and Secondary,KGBVs(APREIS),Girls,6,10,English,None,None,None
97,2822,ANANTAPUR,282219,GUMMAGATA,GUMMAGATTA,28221901109,MJPAPBCWR SCHOOL FOR GIRLS,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,1,10,English,None,None,None
98,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490659,MPL. UPS NAGIREDDIPALLI,Urban,Primary with Upper Primary,MUNCIPAL,Co-education,1,8,English,Telugu,Hindi,None
99,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490660,MPL UPS 1ST WARD GIRLS,Urban,Primary with Upper Primary,MUNCIPAL,Co-education,1,8,English,Telugu,Hindi,None
100,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490661,LITTLE FLOWER SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,Telugu,Hindi,None
101,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490667,SREE VALMEEKI HS,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,Hindi,None
102,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490672,SRI SANTHINIKETHAN EM HIGH SCHOOL,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,Hindi,None
103,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490677,SHARON E.M. HS,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,Telugu,Hindi,None
104,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490690,MPL PS TELUGU MAIN,Urban,Primary,MUNCIPAL,Co-education,1,5,English,Telugu,Hindi,None
105,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490694,MPL PS BABA COLONY,Urban,Primary,MUNCIPAL,Co-education,1,5,English,Telugu,Hindi,None
106,2822,ANANTAPUR,282244,KADIRI,KADIRI BRAHMANAPALLE,28224401505,MPPS V CHINNAIAHGARIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,English,Hindi,None
107,2822,ANANTAPUR,282244,KADIRI,KADIRI BRAHMANAPALLE,28224401510,MPPS KAREDDIPALLI THANDA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,English,Hindi,None
108,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490712,LITTLE SCHOLARS KUTAGULA,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,Hindi,None
109,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490715,VIDYARTHI EM UPS,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,Telugu,Hindi,None
110,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490716,AZAD MEMORIAL EM UPS,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,Telugu,Hindi,None
111,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490722,Blue Moon inter netional school Kutagulla,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,Hindi,None
112,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490730,CHAITHANYA UPPER PRIMARY SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,Telugu,Hindi,None
113,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490739,SRI VALMEEKI MAHRSHI,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,Telugu,Hindi,None
114,2822,ANANTAPUR,282244,KADIRI,YERRADODDI,28224400403,MPPS ERUKALAVARIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,English,Hindi,None
115,2822,ANANTAPUR,282244,KADIRI,YERRADODDI,28224400405,MPPS YETIGADDA THANDA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,English,Hindi,None
116,2822,ANANTAPUR,282244,KADIRI,YERRADODDI,28224400409,SHAROON EM SCHOOL,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,Hindi,None
117,2822,ANANTAPUR,282221,SETTUR,SETTUR,28222100112,KGBV SETTUR,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
118,2822,ANANTAPUR,282225,ANANTAPUR,KURUGUNTA,28222500704,APSWRS(G) KURUGUNTA,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,5,10,English,None,None,None
119,2822,ANANTAPUR,282225,ANANTAPUR,KURUGUNTA,28222500705,KGBV KURUGUNTA ANANTAPUR,Rural,Upper Pr. and Secondary,KGBVs(APREIS),Girls,6,10,English,None,None,None
120,2822,ANANTAPUR,282234,KAMBADUR,THIMMAPURAM,28223401006,APSWR.HS THIMMAPURAM,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,5,10,English,None,None,None
121,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490735,MADARASA E MISBHAUL BANAT GIRLS KADIRI,Urban,Primary with Upper Primary,Madarsa unrecognized,Girls,1,7,Urdu,Telugu,None,None
122,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490736,ANDHRA PRADESH TRIBAL WELFARE RESIDENTIAL SCHOOL(GIRLS),Urban,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Girls,1,10,English,Telugu,None,None
123,2822,ANANTAPUR,282216,BELUGUPPA,BELUGUPPA,28221600313,KGBV BELUGUPPA,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,None,None,None
124,2822,ANANTAPUR,282217,KANEKAL,KANEKAL,28221701019,ZPHS(G) KANEKAL,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
125,2822,ANANTAPUR,282217,KANEKAL,KANEKAL,28221701033,KGBV KANEKAL,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,None,None,None
126,2822,ANANTAPUR,282239,TALUPULA,TALUPULA,28223900526,KGBV TALUPULA,Rural,Upper Pr. and Secondary,KGBVs Run by APTWREI Society,Girls,6,10,Telugu,English,None,None
