SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
44,2820,KADAPA,282031,CUDDAPAH,CUDDAPAH (M)-2,28203191491,ST J HS MARIAPURAM(B),Urban,Upper Pr. and Secondary,Pvt.Aided,Boys,6,10,Telugu,None,None,None
45,2820,KADAPA,282036,L.R.PALLI,LAKKIREDDIPALLE,28203600524,ZPHS LR PALLE BOYS,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Boys,6,10,Telugu,English,None,None
46,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601566,APTWR SCHOOL BOYS,Rural,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Boys,1,10,English,Telugu,None,None
47,2820,KADAPA,282009,KALASAPADU,KALASAPADU,28200901808,ZPHS BOYS KALASAPADU,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Boys,6,10,Telugu,None,None,None
48,2820,KADAPA,282013,KHAJIPET,KHAJIPETA SUNKESULA,28201300722,ZPHS KHAJIPETA,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Boys,6,10,Telugu,English,None,None
49,2820,KADAPA,282044,OBULAVARIPALLI,MUKKAVARIPALLE,28204400910,APRS HS MUKKAVARIPALLI,Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Boys,5,10,English,None,None,None
50,2820,KADAPA,282044,OBULAVARIPALLI,MUKKAVARIPALLE,28204400911,A.P.S.W.R.S SANJEEVAPURAM,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Boys,5,10,English,None,None,None
51,2820,KADAPA,282015,PRODDUTUR,PRODDATUR-2,28201591304,ABM MPL HS T.B. ROAD,Urban,Upper Pr. and Secondary,MUNCIPAL,Boys,6,10,English,Telugu,None,None
52,2820,KADAPA,282015,PRODDUTUR,PRODDATUR-2,28201591352,JAMIA ZIA UL QURAN MADARASA,Urban,Primary,Madarsa unrecognized,Boys,1,5,Urdu,None,None,None
53,2820,KADAPA,282031,CUDDAPAH,CHINNACHOWK,28203190352,APRS RAMANJANEYAPURAM,Urban,Pr. Up Pr. and Secondary Only,APREI Society Schools,Boys,5,10,English,None,None,None
54,2820,KADAPA,282031,CUDDAPAH,CHINNACHOWK,28203190390,GOVT ST RESIDENTIAL SCHOOL FOR BOYS,Urban,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Boys,1,10,Telugu,English,None,None
55,2820,KADAPA,282050,GALIVEEDU,GALIVEEDU,28205001224,ZPHS GALIVEEDU (BOYS),Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Boys,6,10,Telugu,English,None,None
56,2820,KADAPA,282046,T SUNDUPALLI,T.SUNDUPALLE,28204600252,GOVT ST RESIDENTIAL SCHOOL FOR BOYS,Rural,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Boys,1,10,English,None,None,None
57,2820,KADAPA,282008,B.KODUR,KODURU,28200801110,APSWR JR. COLLEGE SAGILERU,Rural,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Boys,5,12,English,None,None,None
58,2820,KADAPA,282020,PULIVENDLA,"PAULREDDY MEMORIAL,PDL",28202001463,APSWR HS CVSR BHAVAN,Urban,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Boys,5,12,English,None,None,None
59,2820,KADAPA,282031,CUDDAPAH,CUDDAPAH (M)-2,28203191457,MPL HS MADRAS ROAD (U AND G),Urban,Upper Pr. and Secondary,MUNCIPAL,Girls,6,10,Urdu,English,None,None
60,2820,KADAPA,282036,L.R.PALLI,LAKKIREDDIPALLE,28203600525,ZPHS LR PALLE(GIRLS),Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
61,2820,KADAPA,282036,L.R.PALLI,LAKKIREDDIPALLE,28203600530,APSWRS LR PALLE,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,5,10,English,None,None,None
62,2820,KADAPA,282036,L.R.PALLI,LAKKIREDDIPALLE,28203600545,K G B V .L.R.PALLI,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
63,2820,KADAPA,282038,VEERABALLI,VEERABALLE,28203800522,KGBVS VEERABALLE,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,Telugu,None,None
64,2820,KADAPA,282040,NANDALUR,ADEPUR,28204001806,APSWRS HS ADAPUR,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,5,10,English,None,None,None
65,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601538,KGBV T.G.P.COLONY,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
66,2820,KADAPA,282009,KALASAPADU,KALASAPADU,28200901812,ZPHS GIRLS KALASAPADU,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
67,2820,KADAPA,282009,KALASAPADU,KALASAPADU,28200901813,KGBV KALASAPADU,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
68,2820,KADAPA,282012,GOPAVARAM,MADAKALAVARIPALLE,28201200446,APSWR GOPAVRAM,Urban,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Girls,5,12,English,None,None,None
69,2820,KADAPA,282013,KHAJIPET,KHAJIPETA SUNKESULA,28201300723,ZPHS KHAJIPETA(GIRLS),Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
70,2820,KADAPA,282013,KHAJIPET,KHAJIPETA SUNKESULA,28201300733,KGBV KHAJIPET,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,None,None,None
71,2820,KADAPA,282016,JAMMALAMADUGU,JAMMALAMADUGU,28201600313,KGBV JAMMALAMADUGU,Urban,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,Telugu,None,None
72,2820,KADAPA,282016,JAMMALAMADUGU,JAMMALAMADUGU,28201600309,APSWRS(G) JAMLAMDG,Urban,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,5,10,English,None,None,None
73,2820,KADAPA,282041,PENAGALUR,INDLUR,28204101306,K G B V PENAGALUR,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,None,None,None
