SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
2025,2820,KADAPA,282037,RAMAPURAM,GOPAGUDIPALLE,28203700211,ZPHS GOPAGUDIPALLE,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,None,None
2026,2820,KADAPA,282037,RAMAPURAM,GOPAGUDIPALLE,28203700214,SREMANARAYANA EM PRIMARY SCHOOL,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
2027,2820,KADAPA,282037,RAMAPURAM,GOPAGUDIPALLE,28203700215,SREMANARAYANA EM HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
2028,2820,KADAPA,282037,RAMAPURAM,NALLAGUTTAPALLE,28203700601,MPPS RAMAPURAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2029,2820,KADAPA,282037,RAMAPURAM,NALLAGUTTAPALLE,28203700602,MPPS NG PALLE HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2030,2820,KADAPA,282037,RAMAPURAM,NALLAGUTTAPALLE,28203700603,MPPS B C COLONY,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2031,2820,KADAPA,282037,RAMAPURAM,NALLAGUTTAPALLE,28203700604,MPPS NALLAGUTTAPALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2032,2820,KADAPA,282030,SIDHOUT,PEDDAPALLE,28203001633,MPPS ALINAGAR URDU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
2033,2820,KADAPA,282030,SIDHOUT,PEDDAPALLE,28203001634,VIJAYA BHARATHI UPS SCHOOL,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,8,English,None,None,None
2034,2820,KADAPA,282032,C.K.DINNE,PAPASAHEBPET,28203200701,MPPS K NARASANNAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2035,2820,KADAPA,282032,C.K.DINNE,PAPASAHEBPET,28203200702,MPPS PAPASAHEBPETA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2036,2820,KADAPA,282032,C.K.DINNE,KAMMAVARIPALLE,28203201101,MPPS KAMMAVARIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2037,2820,KADAPA,282032,C.K.DINNE,KAMMAVARIPALLE,28203201102,MPPS E TURKAPALLI URDU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
2038,2820,KADAPA,282032,C.K.DINNE,KAMMAVARIPALLE,28203201103,MPPS MITTAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2039,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201601,MPPS MANILLAPALLI MAIN,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2040,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201602,MPPS NARAYANA REDDY PALLI,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2041,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201603,MPPS C M R PALLI,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2042,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201605,MPPS B S THANDA,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2043,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201606,MPPS MARY NAGAR,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2044,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201607,MPPS NAYANORI PALLE URDU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
2045,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201610,MPPS MAMILLAPALE H W,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2046,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201611,MPPS RAMCHANDRAIAH COLONY,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2047,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201612,MPPS SAIBABA NAGAR,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2048,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201615,SIDDARTHA PS CMR PALLI,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
2049,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201616,MPUPS ANGADIVEEDI ( T),Urban,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
2050,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201618,AUPS BALIJAPALLI,Urban,Primary with Upper Primary,Pvt.Aided,Co-education,1,7,Telugu,None,None,None
2051,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201620,SIDDARTHA HS CMR PALLI,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
2052,2820,KADAPA,282032,C.K.DINNE,MAMILLAPALLE,28203201622,MPPS ANGADI VEEDHI URDU,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
2053,2820,KADAPA,282016,JAMMALAMADUGU,JAMMALAMADUGU,28201600311,SRI PADMAVATI PS,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
2054,2820,KADAPA,282016,JAMMALAMADUGU,GANDIKOTA,28201600801,MPPS G.KOTTALAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2055,2820,KADAPA,282016,JAMMALAMADUGU,GANDIKOTA,28201600802,MPUPS GANDIKOTA,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
2056,2820,KADAPA,282016,JAMMALAMADUGU,DHARMAPURAM,28201601401,MPPS DHARAMAPURAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2057,2820,KADAPA,282016,JAMMALAMADUGU,PEDDANDLUR,28201601901,MPUPS PEDDANDLURU,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
2058,2820,KADAPA,282017,MUDDANUR,ARAVETIPALLE,28201700701,MPUPS ARAVETI PALLY,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
2059,2820,KADAPA,282017,MUDDANUR,PENIKALAPADU,28201701301,MPPS PENIKALA PADU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2060,2820,KADAPA,282017,MUDDANUR,PENIKALAPADU,28201701302,MPPS NOSSAMVARI PALLY,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2061,2820,KADAPA,282017,MUDDANUR,PENIKALAPADU,28201701303,MPPS PENIKALA PADU (HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2062,2820,KADAPA,282017,MUDDANUR,RAJULAGURAVAIAHPALLE,28201701401,MPPS RGV PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2063,2820,KADAPA,282017,MUDDANUR,RAJULAGURAVAIAHPALLE,28201701402,ZPHS RGV PALLE,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
2064,2820,KADAPA,282017,MUDDANUR,CHINNADUDYALA,28201701801,MPPS CHINNADUDYALA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2065,2820,KADAPA,282018,SIMHADRIPURAM,NIDIVELAGALA,28201801601,MPPS NIDIVELAGALA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2066,2820,KADAPA,282018,SIMHADRIPURAM,BALAPANUR,28201802002,MPPS KOVARAM GUTTA PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2067,2820,KADAPA,282018,SIMHADRIPURAM,BALAPANUR,28201802003,MPPS BALAPANUR (M),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2068,2820,KADAPA,282018,SIMHADRIPURAM,BALAPANUR,28201802005,MPPS BALAPANUR HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2069,2820,KADAPA,282018,SIMHADRIPURAM,BALAPANUR,28201802007,MPPS BOJJAYAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2070,2820,KADAPA,282018,SIMHADRIPURAM,BALAPANUR,28201802008,ZPHS KOVARAMGUTTAPALLI,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,None,None
2071,2820,KADAPA,282018,SIMHADRIPURAM,BALAPANUR,28201802009,ZPHS BALAPANUR,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
2072,2820,KADAPA,282019,LINGALA,KOMMANUTHALA,28201900101,MPPS KOMMA NATHULA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,Hindi,None,None
2073,2820,KADAPA,282019,LINGALA,KOMMANUTHALA,28201900102,MPPS EGUVAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2074,2820,KADAPA,282042,CHITVEL,NAGARIPADU,28204201307,MPPS N UPPARAPALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2075,2820,KADAPA,282042,CHITVEL,NAGARIPADU,28204201309,MPPS VENKATARAJUPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2076,2820,KADAPA,282042,CHITVEL,NAGARIPADU,28204201311,MPPS PEDDUR GIRIJANWADA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2077,2820,KADAPA,282042,CHITVEL,NAGARIPADU,28204201312,MPUPS NAGIRIPADU (VILL),Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,English,None,None
2078,2820,KADAPA,282042,CHITVEL,NAGARIPADU,28204201313,ZPHS VENKATARAJUPALLI,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,None,None
2079,2820,KADAPA,282042,CHITVEL,NAGARIPADU,28204201314,MPPS MALLEM PALLE VILL,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2080,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300101,MPPS ANANTHARAJU PETA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2081,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300102,MPPS THURUPU PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2082,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300105,MPPS S.R.NAGAR (POST),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2083,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300106,MPPS URLAGATTUPODU (AW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2084,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300107,MPPS BOJJAVARI PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2085,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300108,MPPS ERIKALAREDDIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2086,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300109,MPPS THIMMISETTY PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2087,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300110,MPPS LAKSHMI NAGAR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2088,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300111,MPPS THUNGAVANDLAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2089,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300113,MPPS BANGLA MITTA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2090,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300114,MPPS RAMAIAHPALEM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2091,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300115,MPPS NARAYANARAJU PODU AW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2092,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300116,MPPS PITTAVANDLAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2093,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300117,MPPS A.R.PETA NEW COLONY,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2094,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300118,ZPHS ANANTHARAJUPETA,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,None,None
2095,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701001,MPPS MUDDANUR(MAIN),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2096,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701002,MPPS HW MUDDANUR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2097,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701006,MPPS CR PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2098,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701007,S.P.G.PS MUDDANUR,Rural,Primary,Pvt.Aided,Co-education,1,5,Telugu,None,None,None
2099,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701008,SBV PS MUDDANUR,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,None,None,None
2100,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701009,SM PS MADDANUR,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,None,None,None
2101,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701010,MPPS STATION WARD,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2102,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701012,ST.XAVIERS UPS MDR,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
2103,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701013,ZPHS MADDANUR,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,None,None
2104,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701015,SBV HS MADDANUR,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,None,None,None
2105,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701016,SG HS MADDANUR,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,None,None,None
2106,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701021,SRI SAI KRISHNA MADDANUR,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,Telugu,English,None,None
2107,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701023,MAHARSHI HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,None,None
2108,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701024,SSVN UP SCHOOL,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
2109,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701027,MAHARSHI ENGLISH MEDIUM PRIMARY SCHOOL,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
2110,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701029,SRI SUVIDHA VIDYANIKETHAN EM HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
2111,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701030,SREE VIVEKANANDA EM UP SCHOOL,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
2112,2820,KADAPA,282017,MUDDANUR,KOSINEPALLE,28201701101,MPPS KOSINEPALLY,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2113,2820,KADAPA,282018,SIMHADRIPURAM,CHAVVARIPALLE,28201800201,MPPS CHAVVARIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2114,2820,KADAPA,282018,SIMHADRIPURAM,MADDULAPAYA,28201800701,MPPS AHOBILAPURAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2115,2820,KADAPA,282018,SIMHADRIPURAM,HIMAKUNTLA,28201801501,MPPS HIMAKUNTLA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2116,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300119,MPPS ASADHI H.W,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2117,2820,KADAPA,282043,KODUR,ANANTHARAJUPETA,28204300123,MPPS THURUPU PALLI ST,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2118,2820,KADAPA,282043,KODUR,KODUR,28204300901,MPPS GANDHI NAGAR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2119,2820,KADAPA,282043,KODUR,KODUR,28204300902,MPPS KODUR MAIN,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2120,2820,KADAPA,282043,KODUR,KODUR,28204300903,MPPS KODUR (URDU),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
2121,2820,KADAPA,282043,KODUR,KODUR,28204300904,MPPS KODUR II ND WARD,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2122,2820,KADAPA,282043,KODUR,KODUR,28204300905,MPPS KODUR CAMPUS,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2123,2820,KADAPA,282043,KODUR,KODUR,28204300906,MPPS KODUR H.W,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2124,2820,KADAPA,282043,KODUR,KODUR,28204300907,MPPS REDDYVARI PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2125,2820,KADAPA,282043,KODUR,KODUR,28204300908,MPPS CHALAM PALEM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2126,2820,KADAPA,282043,KODUR,KODUR,28204300909,MPPS GUNDALA PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2127,2820,KADAPA,282043,KODUR,KODUR,28204300910,MPPS V.P.R. KANDRIKA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2128,2820,KADAPA,282043,KODUR,KODUR,28204300911,MPPS SIDDIRAJU KANDRIKA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2129,2820,KADAPA,282043,KODUR,KODUR,28204300913,MPPS THADEVANDLA PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2130,2820,KADAPA,282043,KODUR,KODUR,28204300914,MPPS DESETTI PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2131,2820,KADAPA,282043,KODUR,KODUR,28204300916,MPPS SURAPURAJU PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2132,2820,KADAPA,282043,KODUR,KODUR,28204300917,MPPS MYSOORIVARI PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2133,2820,KADAPA,282043,KODUR,KODUR,28204300918,MPPS AYYAVARIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2134,2820,KADAPA,282043,KODUR,KODUR,28204300919,MPPS VENKATESWARA PURAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2135,2820,KADAPA,282043,KODUR,KODUR,28204300920,MPPS GANGARAJU PODU ST,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2136,2820,KADAPA,282043,KODUR,KODUR,28204300921,MPPS SANTHI NAGAR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2137,2820,KADAPA,282043,KODUR,KODUR,28204300922,MPPS SAMATHA NAGAR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2138,2820,KADAPA,282021,VEMULA,GONDIPALLE,28202100901,MPPS RANGORI PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2139,2820,KADAPA,282021,VEMULA,GONDIPALLE,28202100902,MPPS GONDIPALLI (VILL),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2140,2820,KADAPA,282022,THONDUR,BHADRAMPALLE,28202200102,MPUPSBHADRAM PALLI,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
2141,2820,KADAPA,282022,THONDUR,MADUR,28202200901,MPPS MADUR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2142,2820,KADAPA,282023,V.N.PALLE,NORTHPALAGIRI,28202301301,MPPS N PALGIRI (M),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2143,2820,KADAPA,282023,V.N.PALLE,NORTHPALAGIRI,28202301302,MPPS N PALGIRI (HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2144,2820,KADAPA,282023,V.N.PALLE,NORTHPALAGIRI,28202301303,MPPS N PALGIRI SC COLONY,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2145,2820,KADAPA,282023,V.N.PALLE,NORTHPALAGIRI,28202301304,MPPS BPALLI(HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2146,2820,KADAPA,282023,V.N.PALLE,NORTHPALAGIRI,28202301307,MPPS N PALAGIRI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2147,2820,KADAPA,282023,V.N.PALLE,NORTHPALAGIRI,28202301308,MPPS BUSIREDDY PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2148,2820,KADAPA,282023,V.N.PALLE,NORTHPALAGIRI,28202301309,Z.PHS N PALAGIRI,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
2149,2820,KADAPA,282023,V.N.PALLE,TANGEDUPALLE,28202301501,MPPS THANGEDU PALLY,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2150,2820,KADAPA,282024,YERRAGUNTLA,THIPPALURU,28202401601,MPPS THIPPALUR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2151,2820,KADAPA,282024,YERRAGUNTLA,THIPPALURU,28202401602,LMCAES THIPPALUR,Rural,Primary,Pvt.Aided,Co-education,1,5,Telugu,None,None,None
2152,2820,KADAPA,282025,KAMALAPURAM,SAMBATUR,28202500201,MPPS SMABATUR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2153,2820,KADAPA,282025,KAMALAPURAM,SAMBATUR,28202500203,MPPS CHENNAMPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2154,2820,KADAPA,282025,KAMALAPURAM,SAMBATUR,28202500204,MPPS NADIMPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2155,2820,KADAPA,282025,KAMALAPURAM,NALLINGAYAPALLE,28202501101,MPPS NALLAINGAYAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2156,2820,KADAPA,282025,KAMALAPURAM,NALLINGAYAPALLE,28202501102,ZPHS NALLINGAYAPALLI,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,None,None
2157,2820,KADAPA,282025,KAMALAPURAM,NALLINGAYAPALLE,28202501103,DAV BHARATHI VIDYA MANDIR EM PS,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
2158,2820,KADAPA,282026,VALLUR,TAPPETLA,28202600101,MPPS THAPPETLA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2159,2820,KADAPA,282031,CUDDAPAH,CHINNACHOWK,28203190312,MPPS ASHOK NAGAR S.T.COLONY,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
2160,2820,KADAPA,282031,CUDDAPAH,MARIA PURAM,28203191604,THE HYDERABAD PUBLIC SCHOOL,Urban,Pr. Up Pr. and Secondary Only,Pvt.Unaided,Co-education,1,10,English,None,None,None
2161,2820,KADAPA,282031,CUDDAPAH,MARIA PURAM,28203191605,SHARMILA UP ENG MED SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,6,English,None,None,None
2162,2820,KADAPA,282031,CUDDAPAH,MARIA PURAM,28203191606,ARUNA MEM EM SCHOOL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
2163,2820,KADAPA,282031,CUDDAPAH,MARIA PURAM,28203191607,SRI BHASHYAM PUBLIC SCHOOL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
2164,2820,KADAPA,282031,CUDDAPAH,MARIA PURAM,28203191608,SRI BHASHYAM PUBLIC HIGH SCHOOL,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
2165,2820,KADAPA,282031,CUDDAPAH,MARIA PURAM,28203191610,RELIANCE UP SCHOOL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
